"","PC","var_explained"
"1",1,0.262532567015556
"2",2,0.121278195498789
"3",3,0.107014772104992
"4",4,0.0923519560580992
"5",5,0.07124441238442
"6",6,0.0667220276250017
"7",7,0.0603215693575741
"8",8,0.0386225658737505
"9",9,0.0344465466442599
"10",10,0.0311200735768878
"11",11,0.0300174005657278
"12",12,0.0221100516708943
"13",13,0.0167444772712966
"14",14,0.0130937556958663
"15",15,0.00854198565536435
"16",16,0.00701294810693553
"17",17,0.00525443871931163
"18",18,0.00474449569285435
"19",19,0.00347403315385795
"20",20,0.00277174871568638
"21",21,0.000579978612875117
